cluster,nivel_riesgo,cantidad_registros,puntaje_riesgo,mp25,mp10,so2,no2,humedad,indice_vulnerabilidad_respiratoria,emision_maxima_permitida,velocidad_viento
2,Bajo riesgo,7882,0.0,25.724448109616848,65.48151738137528,26.8746891651865,45.69047196143111,51.38949505201725,66.66234458259325,282.2742662116041,5.159762750570921
1,Riesgo moderado,11268,0.3971389013175788,39.135552005679806,90.33107827476039,31.50644302449414,47.8687167199148,74.99041533546325,67.4253727369542,304.41592581971133,2.8183954561590343
0,Riesgo crítico,7472,0.9957291837925394,76.36279443254818,160.28516862955033,34.30873929336188,51.2002408993576,90.26498929336188,68.03312366167023,302.05185185185184,1.5703399357601713
